PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion
;;65800;1482584;43664;1482583-1482584;5510;1560603-1482583;50166958;1551748-1560603
;;61701;1560576;51874;51874-1560576;9721;834767-51874;50193958;1477907-834767
;;61701;1560576;51874;51874-1560576;488632;1497395-51874;50205117;1497394-1497395
;;413486;1560573;58912;1560572-1560573;490737;1534415-1560572;50199031;1532878-1534415
;;413486;1560573;58912;1560572-1560573;36926;1430811-1560572;50074739;1164445-1430811
;;412656;1560570;487131;1470272-1560570;487132;1470270-1470272;50205661;1504336-1470270
;;71920;71920;45603;1560630-71920;491127;1560629-1560630;50198598;1558483-1560629
;;72438;72438;462884;1017568-72438;26383;1552739-1017568;50122223;1545734-1552739
;;71870;71870;44923;44923-71870;21993;789765-44923;50088146;1257581-789765
;;479365;1560450;479364;1195439-1560450;479363;1466204-1195439;50194897;1473568-1466204
;;479365;1560450;479364;1195439-1560450;479370;1466208-1195439;50194896;1473570-1466208
;;416494;1243998;416493;666491-1243998;416492;1560363-666491;50198667;1558255-1560363
;;416494;1243998;416496;666502-1243998;416495;1560359-666502;50198666;1558257-1560359
;;416499;666513;416498;666511-666513;416497;1560355-666511;50198665;1558259-1560355
;;71912;71912;46539;46539-71912;491001;1557813-46539;50210629;1556406-1557813
;;416508;666556;416507;666554-666556;416506;1560313-666554;50198655;1558285-1560313
;;71919;1305592;57952;1305593-1305592;479986;1560289-1305593;50198647;1558305-1560289
;;71919;1305592;57952;1305593-1305592;21166;1540827-1305593;50145583;1535840-1540827
;;71946;1244075;50532;50532-1244075;26101;1560284-50532;50123774;1538723-1560284
;;71946;1244075;427061;892748-1244075;416503;1244072-892748;50098527;1275331-1244072
;;71887;71887;50199;50199-71887;37595;891201-50199;50144653;1204506-891201
;;72517;655065;42960;1309018-655065;41431;1309016-1309018;50123930;1538582-1309016
;;72517;655065;42960;1309018-655065;41431;1309016-1309018;50196763;1475894-1309016
;;72517;655065;42960;1309018-655065;472352;1309017-1309018;50123910;1538601-1309017
;;72517;655065;47348;1308987-655065;413092;1366125-1308987;50123864;1538637-1366125
;;72517;655065;47348;1308987-655065;29485;1555631-1308987;50123911;1538600-1555631
;;72517;655065;47345;1309005-655065;24897;1366119-1309005;50198636;1558341-1366119
;;71787;71787;44310;44310-71787;22112;1347987-44310;50026273;1258019-1347987
;;71815;71815;44133;44133-71815;22116;1025199-44133;50026791;1257738-1025199
;;71834;71834;463886;1035252-71834;463626;1030530-1035252;50146994;1535164-1030530
;;71834;71834;463886;1035252-71834;463626;1030530-1035252;50198609;1558445-1030530
;;71893;71893;42732;1035155-71893;22120;1021099-1035155;50025786;1258289-1021099
;;71961;71961;473749;1335998-71961;24609;1335996-1335998;50144242;1542790-1335996
;;71961;71961;473749;1335998-71961;26271;1557483-1335998;50198613;1558429-1557483
;;71961;71961;473749;1335998-71961;24818;1556953-1335998;50198618;1558411-1556953
;;71961;71961;44901;44901-71961;22368;1021756-44901;50025835;1258253-1021756
;;71961;71961;44901;44901-71961;463032;1021784-44901;50026645;1257804-1021784
;;71961;71961;44901;44901-71961;463009;1021828-44901;50025940;1258209-1021828
;;71426;1332071;42280;1332072-1332071;463094;1332076-1332072;50026629;1257816-1332076
;;71426;1332071;463328;1026907-1332071;22808;1540077-1026907;50114530;1539524-1540077
;;71426;1332071;463328;1026907-1332071;28243;1325683-1026907;50114521;1539533-1325683
;;71906;71906;42369;1034610-71906;24686;1023535-1034610;50026146;1258077-1023535
;;71906;71906;463861;1034599-71906;463589;1560212-1034599;50198604;1558461-1560212
;;71906;71906;463861;1034599-71906;488361;1491550-1034599;50198596;1558489-1491550
;;71900;71900;45609;1034811-71900;463156;1332106-1034811;50026330;1257978-1332106
;;65515;1466394;46920;1466393-1466394;13307;1560042-1466393;50167062;1551651-1560042
;;65515;1466394;46920;1466393-1466394;13358;1560045-1466393;50168747;1550877-1560045
;;65512;771956;46922;771955-771956;13311;785142-771955;50167068;1551646-785142
;;65528;1533340;54302;54302-1533340;13758;1560025-54302;50167220;1558919-1560025
;;65509;1466526;54298;1466525-1466526;14175;1560022-1466525;50167213;1558921-1560022
;;65669;1119573;47898;1119572-1119573;471546;1076656-1119572;50117790;1200630-1076656
;;65669;1119573;473092;1086463-1119573;5255;5255-1086463;50077809;1274061-5255
;;65669;1119573;473092;1086463-1119573;13271;1560011-1086463;50166361;1314774-1560011
;;65669;1119573;473092;1086463-1119573;2358;1302717-1086463;50143970;1269387-1302717
;;66167;846869;54161;846868-846869;23085;1287007-846868;50166392;1455387-1287007
;;65762;65762;54173;54173-65762;13270;1559995-54173;50002481;1558863-1559995
474259;1113514;474149;1108593;42583;1035010-1108593;8423;1232647-1035010;50114304;1546855-1232647
;;72168;72168;43969;43969-72168;22243;1024998-43969;50026949;1257652-1024998
;;72168;72168;43969;43969-72168;463212;1024985-43969;50026258;1258029-1024985
;;72168;72168;43969;43969-72168;480330;1219356-43969;50147700;1533489-1219356
;;72168;72168;58520;1256177-72168;480104;1370392-1256177;50147650;1534858-1370392
;;70792;70792;47380;903456-70792;36779;903458-903456;50123747;1538750-903458
;;70783;1559975;58905;1238582-1559975;36767;1302215-1238582;50141831;1536110-1302215
;;70783;1559975;43900;1559974-1559975;32275;1559973-1559974;50144975;1542233-1559973
;;70783;1559975;43900;1559974-1559975;32275;1559973-1559974;50194695;1473946-1559973
;;64907;64907;50165;50165-64907;7665;1357880-50165;50171805;1372018-1357880
;;65994;1097897;473497;1256822-1097897;32732;1256852-1256822;50168715;1550909-1256852
;;65994;1097897;473497;1256822-1097897;32732;1256852-1256822;50167708;1551133-1256852
;;65994;1097897;473497;1256822-1097897;13665;1497533-1256822;50166873;1551787-1497533
;;65994;1097897;473497;1256822-1097897;32735;1256875-1256822;50118649;1200587-1256875
;;65994;1097897;47881;1097896-1097897;471027;1332050-1097896;50118316;1331868-1332050
;;476965;1558124;476964;1559645-1558124;32770;1558122-1559645;50167756;1558895-1558122
;;60831;1349490;48431;1349489-1349490;3590;3590-1349489;50192645;1559451-3590
;;60831;1349490;48431;1349489-1349490;3589;3589-1349489;50192646;1559450-3589
;;70159;70159;45963;45963-70159;28526;1336832-45963;50125406;1537306-1336832
;;70159;70159;45963;45963-70159;29327;29327-45963;50125449;1537267-29327
;;60964;60964;48430;48430-60964;3588;1469733-48430;50094029;1414487-1469733
;;69821;1369659;43141;43141-1369659;22883;1369658-43141;50125442;1537273-1369658
;;60072;1208866;43068;1085371-1208866;470664;1073273-1085371;50118643;1295419-1073273
;;60072;1208866;473059;1085372-1208866;2733;1396546-1085372;50118064;1454582-1396546
;;60072;1208866;59352;1199993-1208866;2876;1396554-1199993;50173516;1437858-1396554
;;60080;1194315;44505;1194313-1194315;12629;1396513-1194313;50175060;1387114-1396513
;;60095;60095;48441;48441-60095;415417;1469341-48441;50094066;1414464-1469341
;;60095;60095;48441;48441-60095;415417;1469341-48441;50192513;1559525-1469341
;;60094;60094;48443;48443-60094;415435;1469795-48443;50094071;1414463-1469795
;;62666;1432584;44634;1403591-1432584;9867;1385272-1403591;50189365;1559780-1385272
;;60028;1119545;473047;1455430-1119545;2919;1455429-1455430;50192628;1559463-1455429
;;60027;60027;53910;53910-60027;35329;1396997-53910;50182379;1412678-1396997
;;60022;60022;53930;53930-60022;411528;1397059-53930;50152009;1381796-1397059
;;60020;60020;48122;48122-60020;2925;1438101-48122;50173549;1437770-1438101
;;62690;1402257;42857;42857-1402257;27172;811429-42857;50192707;1559417-811429
;;60039;60039;43890;43890-60039;420305;1389906-43890;50173585;1437674-1389906
;;60039;60039;43890;43890-60039;11901;1389903-43890;50151797;1134288-1389903
;;60039;60039;43890;43890-60039;424299;1389921-43890;50192326;1559649-1389921
;;60039;60039;43890;43890-60039;424299;1389921-43890;50112100;1433353-1389921
;;60039;60039;43890;43890-60039;424300;1389911-43890;50112098;1169242-1389911
;;60039;60039;43890;43890-60039;4658;1389914-43890;50200939;1509933-1389914
;;60037;60037;53314;53314-60037;462261;1389792-53314;50174452;1388322-1389792
;;60047;60047;48293;48293-60047;3289;1468893-48293;50173584;1437678-1468893
;;60041;60041;53898;53898-60041;411611;1469844-53898;50189476;1559707-1469844
;;60068;1329029;48439;1329030-1329029;415413;1329031-1329030;50189439;1559729-1329031
;;60061;1002321;53928;1002320-1002321;477055;1469783-1002320;50151940;1184313-1469783
;;62627;1452938;42341;1452937-1452938;3546;1452936-1452937;50192873;1481341-1452936
;;62627;1452938;42341;1452937-1452938;3546;1452936-1452937;50206074;1503230-1452936
;;62646;1308965;53223;53223-1308965;12424;1308969-53223;50189264;1559847-1308969
;;60191;877684;52323;877683-877684;10403;1373192-877683;50192642;1559452-1373192
;;60191;877684;52323;877683-877684;10404;1373195-877683;50192641;1559453-1373195
;;60190;60190;42969;42969-60190;3800;3800-42969;50205395;1505024-3800
;;60190;60190;42969;42969-60190;3800;3800-42969;50192663;1559440-3800
;;60190;60190;42969;42969-60190;3800;3800-42969;50151991;1381805-3800
;;60199;60199;53868;53868-60199;35234;1469442-53868;50192414;1559592-1469442
;;60196;60196;45084;45084-60196;4011;1020228-45084;50206118;1503104-1020228
;;478922;1220436;478921;1220435-1220436;480645;1469082-1220435;50158632;1237234-1469082
;;478922;1220436;478921;1220435-1220436;480067;1469076-1220435;50158513;1381777-1469076
;;478922;1220436;478921;1220435-1220436;480068;1469079-1220435;50158512;1381778-1469079
;;60111;60111;48440;48440-60111;415414;831897-48440;50189257;1559852-831897
;;60129;60129;53884;53884-60129;411570;1469853-53884;50189479;1559704-1469853
;;60136;60136;48448;48448-60136;3633;3633-48448;50192752;1559378-3633
;;60130;60130;48444;48444-60130;415433;831915-48444;50094345;1433356-831915
;;60130;60130;48444;48444-60130;415433;831915-48444;50192811;1559329-831915
;;60141;60141;48328;48328-60141;3375;1469723-48328;50189271;1559841-1469723
;;60154;988046;47076;796573-988046;462120;1152803-796573;50093802;1414629-1152803
;;60154;988046;424398;796561-988046;3361;1469126-796561;50093799;1414632-1469126
;;60153;1319837;43565;1319836-1319837;4656;1319843-1319836;50176767;1571500-1319843
;;60153;1319837;43565;1319836-1319837;2878;1402766-1319836;50093264;1414866-1402766
;;60153;1319837;43565;1319836-1319837;2878;1402766-1319836;50200656;1510783-1402766
;;60163;60163;53876;53876-60163;411606;1469017-53876;50151908;1184348-1469017
;;60160;1353150;53889;1353149-1353150;411580;1002345-1353149;50189233;1559870-1002345
;;60160;1353150;53889;1353149-1353150;411581;1353151-1353149;50189234;1559869-1353151
;;60187;60187;53897;53897-60187;411628;1469387-53897;50151949;1184306-1469387
;;60183;60183;53041;53041-60183;3370;1415469-53041;50192484;1559546-1415469
;;60182;1194299;44671;1194297-1194299;415430;1468774-1194297;50189371;1559775-1468774
;;62705;1385339;58185;58185-1385339;416659;1135021-58185;50192758;1559373-1135021
;;62705;1385339;58185;58185-1385339;21814;1402142-58185;50021316;1188835-1402142
;;62705;1385339;416662;667276-1385339;416661;1385336-667276;50098363;1275087-1385336
;;62746;62746;43369;43369-62746;427783;1385507-43369;50093558;1414778-1385507
;;62746;62746;43369;43369-62746;427783;1385507-43369;50176333;1568084-1385507
;;62746;62746;43369;43369-62746;427783;1385507-43369;50120220;1184453-1385507
;;62746;62746;43369;43369-62746;427783;1385507-43369;50143904;1543047-1385507
;;62746;62746;43369;43369-62746;427782;1402607-43369;50192556;1559503-1402607
;;60107;1455326;48097;1455224-1455326;2823;1468882-1455224;50189409;1559752-1468882
;;60105;60105;44546;44546-60105;2881;1469362-44546;50093267;1414863-1469362
;;60105;60105;44546;44546-60105;2880;1469359-44546;50093266;1414864-1469359
;;60105;60105;44546;44546-60105;2880;1469359-44546;50192480;1482121-1469359
;;60102;60102;48442;48442-60102;415418;1468957-48442;50189456;1559721-1468957
;;60101;60101;53882;53882-60101;411572;1469850-53882;50189477;1559706-1469850
;;62909;62909;48383;48383-62909;3491;1469368-48383;50192478;1559549-1469368
;;478608;1178159;478607;1178157-1178159;478606;1397056-1178157;50189246;1559862-1397056
;;478604;1178147;478603;1178145-1178147;478602;1396930-1178145;50115242;1381851-1396930
;;479902;1208874;43832;43832-1208874;9891;892681-43832;50192336;1559644-892681
;;479902;1208874;43832;43832-1208874;3713;1207335-43832;50094221;1414393-1207335
;;62891;62891;42548;42548-62891;3149;1247489-42548;50192801;1559337-1247489
;;60233;60233;48555;48555-60233;8523;8523-48555;50151887;1381818-8523
;;60232;60232;48445;48445-60232;415432;1469666-48445;50189216;1559883-1469666
;;60248;60248;53880;53880-60248;477068;1468966-53880;50151917;1184357-1468966
;;60247;1085749;473049;1085802-1085749;427100;894550-1085802;50118947;1134032-894550
;;60247;1085749;473049;1085802-1085749;35253;1370924-1085802;50192850;1559302-1370924
;;60256;1351420;48551;1351419-1351420;3993;1397012-1351419;50206043;1503314-1397012
;;60255;1135242;48091;1135241-1135242;2743;1253971-1135241;50151930;1381810-1253971
;;60255;1135242;48091;1135241-1135242;2742;1253967-1135241;50182372;1412692-1253967
;;60253;60253;53887;53887-60253;411584;1397006-53887;50192489;1559541-1397006
;;60251;60251;43774;43774-60251;3916;3916-43774;50205742;1504122-3916
;;60251;60251;43774;43774-60251;3914;1397030-43774;50151871;1381834-1397030
;;60269;60269;48205;48205-60269;41677;1415516-48205;50192507;1559527-1415516
;;60264;877645;53902;53902-877645;477042;1469285-53902;50192565;1559498-1469285
;;60260;1307479;48118;1307478-1307479;2917;1397796-1307478;50192723;1559404-1397796
;;60289;1352907;53903;53903-1352907;411546;1352904-53903;50192300;1559661-1352904
;;60289;1352907;53904;53904-1352907;411545;413620-53904;50151995;1184282-413620
;;60288;60288;53879;53879-60288;411577;1469478-53879;50151915;1184359-1469478
;;60286;60286;43037;43037-60286;490691;1523998-43037;50209270;1559239-1523998
;;60296;60296;44745;44745-60296;3955;3955-44745;50205830;1503882-3955
;;62813;1207975;44806;1207974-1207975;3162;1403736-1207974;50098366;1275090-1403736
;;62813;1207975;44806;1207974-1207975;3162;1403736-1207974;50189434;1559734-1403736
;;62813;1207975;44806;1207974-1207975;3162;1403736-1207974;50176731;1571531-1403736
;;62823;1351096;48362;1351097-1351096;3448;1351098-1351097;50093886;1414578-1351098
;;62824;62824;50848;50848-62824;40798;1253460-50848;50142966;1543788-1253460
;;62824;62824;50848;50848-62824;40798;1253460-50848;50192830;1559318-1253460
;;60203;60203;43400;43400-60203;8491;1208043-43400;50189531;1559668-1208043
;;60203;60203;43400;43400-60203;8491;1208043-43400;50182364;1412708-1208043
;;60203;60203;43400;43400-60203;8491;1208043-43400;50151880;1381825-1208043
;;60200;60200;53874;53874-60200;411608;1469029-53874;50192856;1559296-1469029
;;60200;60200;53874;53874-60200;411608;1469029-53874;50151904;1184352-1469029
;;60212;60212;48324;48324-60212;3360;1402050-48324;50176765;1571502-1402050
;;60225;1468950;53875;1468949-1468950;411594;1468946-1468949;50151897;1381813-1468946
;;60224;60224;42226;42226-60224;8469;1396914-42226;50151882;1381823-1396914
;;60221;1135226;53869;1135225-1135226;411596;1468846-1135225;50192934;1559253-1468846
;;60221;1135226;53869;1135225-1135226;411596;1468846-1135225;50151895;1184335-1468846
;;60220;1205647;53867;1205646-1205647;18199;1205645-1205646;50151877;1381828-1205645
;;60220;1205647;53867;1205646-1205647;18199;1205645-1205646;50206121;1503094-1205645
;;60366;659082;48738;48738-659082;4692;833938-48738;50200967;1509855-833938
;;60389;60389;53042;53042-60389;26646;1469736-53042;50021086;1188876-1469736
;;60389;60389;53042;53042-60389;26646;1469736-53042;50205757;1504080-1469736
;;60396;1307449;42656;1307448-1307449;10400;1307436-1307448;50192761;1559370-1307436
;;60396;1307449;42656;1307448-1307449;10400;1307436-1307448;50205206;1505514-1307436
;;60396;1307449;42656;1307448-1307449;21687;1374694-1307448;50205207;1505512-1374694
;;62944;1333142;48382;1333141-1333142;3486;1333138-1333141;50192691;1559427-1333138
;;62944;1333142;48382;1333141-1333142;3487;1333135-1333141;50192692;1559426-1333135
;;60312;60312;53905;53905-60312;35323;35323-53905;50192757;1559374-35323
;;62989;1380878;42501;1380870-1380878;3488;1380868-1380870;50192516;1559522-1380868
;;60327;828166;48206;828165-828166;3132;1397790-828165;50093534;1433393-1397790
;;60327;828166;48206;828165-828166;3132;1397790-828165;50189284;1559833-1397790
;;60327;828166;48206;828165-828166;3131;1397787-828165;50093533;1414801-1397787
